,e,s,i1,i2,c,r,d,detected
147,1,14314,5,15,3,84491,1174,0
148,1,14314,3,14,2,84495,1174,0
149,0,14314,3,14,2,84496,1174,0
150,0,14314,3,13,2,84497,1174,0
151,0,14314,2,12,2,84499,1174,0
152,0,14314,2,10,2,84501,1174,0
153,0,14314,2,8,1,84503,1175,0
154,0,14314,2,4,1,84507,1175,0
155,0,14314,1,4,1,84508,1175,0
156,0,14314,1,2,0,84511,1175,0
157,0,14314,0,1,0,84513,1175,0
158,0,14314,0,1,0,84513,1175,0
159,0,14314,0,0,0,84514,1175,0
160,0,14314,0,0,0,84514,1175,0
161,0,14314,0,0,0,84514,1175,0
162,0,14314,0,0,0,84514,1175,0
163,0,14314,0,0,0,84514,1175,0
164,0,14314,0,0,0,84514,1175,0
165,0,14314,0,0,0,84514,1175,0
166,0,14314,0,0,0,84514,1175,0
167,0,14314,0,0,0,84514,1175,0
168,0,14314,0,0,0,84514,1175,0
169,0,14314,0,0,0,84514,1175,0
170,0,14314,0,0,0,84514,1175,0
171,0,14314,0,0,0,84514,1175,0
172,0,14314,0,0,0,84514,1175,0
173,0,14314,0,0,0,84514,1175,0
174,0,14314,0,0,0,84514,1175,0
175,0,14314,0,0,0,84514,1175,0
176,0,14314,0,0,0,84514,1175,0
177,0,14314,0,0,0,84514,1175,0
178,0,14314,0,0,0,84514,1175,0
179,0,14314,0,0,0,84514,1175,0
180,0,14314,0,0,0,84514,1175,0
181,0,14314,0,0,0,84514,1175,0
182,0,14314,0,0,0,84514,1175,0
183,0,14314,0,0,0,84514,1175,0
184,0,14314,0,0,0,84514,1175,0
185,0,14314,0,0,0,84514,1175,0
186,0,14314,0,0,0,84514,1175,0
187,0,14314,0,0,0,84514,1175,0
188,0,14314,0,0,0,84514,1175,0
189,0,14314,0,0,0,84514,1175,0
190,0,14314,0,0,0,84514,1175,0
191,0,14314,0,0,0,84514,1175,0
192,0,14314,0,0,0,84514,1175,0
193,0,14314,0,0,0,84514,1175,0
194,0,14314,0,0,0,84514,1175,0
195,0,14314,0,0,0,84514,1175,0
196,0,14314,0,0,0,84514,1175,0
197,0,14314,0,0,0,84514,1175,0
198,0,14314,0,0,0,84514,1175,0
199,0,14314,0,0,0,84514,1175,0
200,0,14314,0,0,0,84514,1175,0
201,0,14314,0,0,0,84514,1175,0
202,0,14314,0,0,0,84514,1175,0
203,0,14314,0,0,0,84514,1175,0
204,0,14314,0,0,0,84514,1175,0
205,0,14314,0,0,0,84514,1175,0
206,0,14314,0,0,0,84514,1175,0
207,0,14314,0,0,0,84514,1175,0
208,0,14314,0,0,0,84514,1175,0
209,0,14314,0,0,0,84514,1175,0
210,0,14314,0,0,0,84514,1175,0
211,0,14314,0,0,0,84514,1175,0
212,0,14314,0,0,0,84514,1175,0
213,0,14314,0,0,0,84514,1175,0
214,0,14314,0,0,0,84514,1175,0
215,0,14314,0,0,0,84514,1175,0
216,0,14314,0,0,0,84514,1175,0
217,0,14314,0,0,0,84514,1175,0
218,0,14314,0,0,0,84514,1175,0
219,0,14314,0,0,0,84514,1175,0
220,0,14314,0,0,0,84514,1175,0
221,0,14314,0,0,0,84514,1175,0
222,0,14314,0,0,0,84514,1175,0
223,0,14314,0,0,0,84514,1175,0
224,0,14314,0,0,0,84514,1175,0
225,0,14314,0,0,0,84514,1175,0
226,0,14314,0,0,0,84514,1175,0
227,0,14314,0,0,0,84514,1175,0
228,0,14314,0,0,0,84514,1175,0
229,0,14314,0,0,0,84514,1175,0
230,0,14314,0,0,0,84514,1175,0
231,0,14314,0,0,0,84514,1175,0
232,0,14314,0,0,0,84514,1175,0
233,0,14314,0,0,0,84514,1175,0
234,0,14314,0,0,0,84514,1175,0
235,0,14314,0,0,0,84514,1175,0
236,0,14314,0,0,0,84514,1175,0
237,0,14314,0,0,0,84514,1175,0
238,0,14314,0,0,0,84514,1175,0
239,0,14314,0,0,0,84514,1175,0
240,0,14314,0,0,0,84514,1175,0
241,0,14314,0,0,0,84514,1175,0
242,0,14314,0,0,0,84514,1175,0
243,0,14314,0,0,0,84514,1175,0
244,0,14314,0,0,0,84514,1175,0
245,0,14314,0,0,0,84514,1175,0
246,0,14314,0,0,0,84514,1175,0
247,0,14314,0,0,0,84514,1175,0
248,0,14314,0,0,0,84514,1175,0
249,0,14314,0,0,0,84514,1175,0
250,0,14314,0,0,0,84514,1175,0
251,0,14314,0,0,0,84514,1175,0
252,0,14314,0,0,0,84514,1175,0
253,0,14314,0,0,0,84514,1175,0
254,0,14314,0,0,0,84514,1175,0
255,0,14314,0,0,0,84514,1175,0
256,0,14314,0,0,0,84514,1175,0
257,0,14314,0,0,0,84514,1175,0
258,0,14314,0,0,0,84514,1175,0
259,0,14314,0,0,0,84514,1175,0
260,0,14314,0,0,0,84514,1175,0
261,0,14314,0,0,0,84514,1175,0
262,0,14314,0,0,0,84514,1175,0
263,0,14314,0,0,0,84514,1175,0
264,0,14314,0,0,0,84514,1175,0
265,0,14314,0,0,0,84514,1175,0
266,0,14314,0,0,0,84514,1175,0
267,0,14314,0,0,0,84514,1175,0
268,0,14314,0,0,0,84514,1175,0
269,0,14314,0,0,0,84514,1175,0
270,0,14314,0,0,0,84514,1175,0
271,0,14314,0,0,0,84514,1175,0
272,0,14314,0,0,0,84514,1175,0
273,0,14314,0,0,0,84514,1175,0
274,0,14314,0,0,0,84514,1175,0
275,0,14314,0,0,0,84514,1175,0
276,0,14314,0,0,0,84514,1175,0
277,0,14314,0,0,0,84514,1175,0
278,0,14314,0,0,0,84514,1175,0
279,0,14314,0,0,0,84514,1175,0
280,0,14314,0,0,0,84514,1175,0
281,0,14314,0,0,0,84514,1175,0
282,0,14314,0,0,0,84514,1175,0
283,0,14314,0,0,0,84514,1175,0
284,0,14314,0,0,0,84514,1175,0
285,0,14314,0,0,0,84514,1175,0
286,0,14314,0,0,0,84514,1175,0
287,0,14314,0,0,0,84514,1175,0
288,0,14314,0,0,0,84514,1175,0
289,0,14314,0,0,0,84514,1175,0
290,0,14314,0,0,0,84514,1175,0
291,0,14314,0,0,0,84514,1175,0
292,0,14314,0,0,0,84514,1175,0
293,0,14314,0,0,0,84514,1175,0
294,0,14314,0,0,0,84514,1175,0
295,0,14314,0,0,0,84514,1175,0
296,0,14314,0,0,0,84514,1175,0
297,0,14314,0,0,0,84514,1175,0
298,0,14314,0,0,0,84514,1175,0
299,0,14314,0,0,0,84514,1175,0
300,0,14314,0,0,0,84514,1175,0
301,0,14314,0,0,0,84514,1175,0
302,0,14314,0,0,0,84514,1175,0
303,0,14314,0,0,0,84514,1175,0
304,0,14314,0,0,0,84514,1175,0
305,0,14314,0,0,0,84514,1175,0
306,0,14314,0,0,0,84514,1175,0
307,0,14314,0,0,0,84514,1175,0
308,0,14314,0,0,0,84514,1175,0
309,0,14314,0,0,0,84514,1175,0
310,0,14314,0,0,0,84514,1175,0
311,0,14314,0,0,0,84514,1175,0
312,0,14314,0,0,0,84514,1175,0
313,0,14314,0,0,0,84514,1175,0
314,0,14314,0,0,0,84514,1175,0
315,0,14314,0,0,0,84514,1175,0
316,0,14314,0,0,0,84514,1175,0
317,0,14314,0,0,0,84514,1175,0
318,0,14314,0,0,0,84514,1175,0
319,0,14314,0,0,0,84514,1175,0
320,0,14314,0,0,0,84514,1175,0
321,0,14314,0,0,0,84514,1175,0
322,0,14314,0,0,0,84514,1175,0
323,0,14314,0,0,0,84514,1175,0
324,0,14314,0,0,0,84514,1175,0
325,0,14314,0,0,0,84514,1175,0
326,0,14314,0,0,0,84514,1175,0
327,0,14314,0,0,0,84514,1175,0
328,0,14314,0,0,0,84514,1175,0
329,0,14314,0,0,0,84514,1175,0
330,0,14314,0,0,0,84514,1175,0
331,0,14314,0,0,0,84514,1175,0
332,0,14314,0,0,0,84514,1175,0
333,0,14314,0,0,0,84514,1175,0
334,0,14314,0,0,0,84514,1175,0
335,0,14314,0,0,0,84514,1175,0
336,0,14314,0,0,0,84514,1175,0
337,0,14314,0,0,0,84514,1175,0
338,0,14314,0,0,0,84514,1175,0
339,0,14314,0,0,0,84514,1175,0
340,0,14314,0,0,0,84514,1175,0
341,0,14314,0,0,0,84514,1175,0
342,0,14314,0,0,0,84514,1175,0
343,0,14314,0,0,0,84514,1175,0
344,0,14314,0,0,0,84514,1175,0
345,0,14314,0,0,0,84514,1175,0
346,0,14314,0,0,0,84514,1175,0
347,0,14314,0,0,0,84514,1175,0
348,0,14314,0,0,0,84514,1175,0
349,0,14314,0,0,0,84514,1175,0
