,e,s,i1,i2,c,r,d,detected
229,3,32618,6,7,1,66510,858,0
230,5,32616,6,7,1,66510,858,0
231,7,32614,4,7,1,66512,858,0
232,4,32614,6,5,2,66514,858,0
233,5,32613,5,5,2,66515,858,0
234,5,32613,5,4,1,66517,858,0
235,4,32612,4,5,1,66519,858,0
236,2,32612,5,6,1,66519,858,0
237,2,32612,4,6,1,66520,858,0
238,1,32612,3,6,1,66522,858,0
239,1,32612,3,5,1,66523,858,0
240,0,32612,3,6,1,66523,858,0
241,0,32612,3,6,0,66524,858,0
242,0,32612,1,5,0,66527,858,0
243,0,32612,1,5,0,66527,858,0
244,1,32611,1,5,0,66527,858,0
245,1,32611,1,3,0,66529,858,0
246,1,32611,0,2,0,66531,858,0
247,1,32611,0,2,0,66531,858,0
248,1,32611,0,1,0,66532,858,0
249,0,32611,0,2,0,66532,858,0
250,0,32611,0,1,0,66533,858,0
251,0,32611,0,1,0,66533,858,0
252,0,32611,0,1,0,66533,858,0
253,0,32611,0,1,0,66533,858,0
254,0,32611,0,1,0,66533,858,0
255,0,32611,0,1,0,66533,858,0
256,0,32611,0,1,0,66533,858,0
257,0,32611,0,1,0,66533,858,0
258,0,32611,0,1,0,66533,858,0
259,0,32611,0,0,0,66534,858,0
260,0,32611,0,0,0,66534,858,0
261,0,32611,0,0,0,66534,858,0
262,0,32611,0,0,0,66534,858,0
263,0,32611,0,0,0,66534,858,0
264,0,32611,0,0,0,66534,858,0
265,0,32611,0,0,0,66534,858,0
266,0,32611,0,0,0,66534,858,0
267,0,32611,0,0,0,66534,858,0
268,0,32611,0,0,0,66534,858,0
269,0,32611,0,0,0,66534,858,0
270,0,32611,0,0,0,66534,858,0
271,0,32611,0,0,0,66534,858,0
272,0,32611,0,0,0,66534,858,0
273,0,32611,0,0,0,66534,858,0
274,0,32611,0,0,0,66534,858,0
275,0,32611,0,0,0,66534,858,0
276,0,32611,0,0,0,66534,858,0
277,0,32611,0,0,0,66534,858,0
278,0,32611,0,0,0,66534,858,0
279,0,32611,0,0,0,66534,858,0
280,0,32611,0,0,0,66534,858,0
281,0,32611,0,0,0,66534,858,0
282,0,32611,0,0,0,66534,858,0
283,0,32611,0,0,0,66534,858,0
284,0,32611,0,0,0,66534,858,0
285,0,32611,0,0,0,66534,858,0
286,0,32611,0,0,0,66534,858,0
287,0,32611,0,0,0,66534,858,0
288,0,32611,0,0,0,66534,858,0
289,0,32611,0,0,0,66534,858,0
290,0,32611,0,0,0,66534,858,0
291,0,32611,0,0,0,66534,858,0
292,0,32611,0,0,0,66534,858,0
293,0,32611,0,0,0,66534,858,0
294,0,32611,0,0,0,66534,858,0
295,0,32611,0,0,0,66534,858,0
296,0,32611,0,0,0,66534,858,0
297,0,32611,0,0,0,66534,858,0
298,0,32611,0,0,0,66534,858,0
299,0,32611,0,0,0,66534,858,0
300,0,32611,0,0,0,66534,858,0
301,0,32611,0,0,0,66534,858,0
302,0,32611,0,0,0,66534,858,0
303,0,32611,0,0,0,66534,858,0
304,0,32611,0,0,0,66534,858,0
305,0,32611,0,0,0,66534,858,0
306,0,32611,0,0,0,66534,858,0
307,0,32611,0,0,0,66534,858,0
308,0,32611,0,0,0,66534,858,0
309,0,32611,0,0,0,66534,858,0
310,0,32611,0,0,0,66534,858,0
311,0,32611,0,0,0,66534,858,0
312,0,32611,0,0,0,66534,858,0
313,0,32611,0,0,0,66534,858,0
314,0,32611,0,0,0,66534,858,0
315,0,32611,0,0,0,66534,858,0
316,0,32611,0,0,0,66534,858,0
317,0,32611,0,0,0,66534,858,0
318,0,32611,0,0,0,66534,858,0
319,0,32611,0,0,0,66534,858,0
320,0,32611,0,0,0,66534,858,0
321,0,32611,0,0,0,66534,858,0
322,0,32611,0,0,0,66534,858,0
323,0,32611,0,0,0,66534,858,0
324,0,32611,0,0,0,66534,858,0
325,0,32611,0,0,0,66534,858,0
326,0,32611,0,0,0,66534,858,0
327,0,32611,0,0,0,66534,858,0
328,0,32611,0,0,0,66534,858,0
329,0,32611,0,0,0,66534,858,0
330,0,32611,0,0,0,66534,858,0
331,0,32611,0,0,0,66534,858,0
332,0,32611,0,0,0,66534,858,0
333,0,32611,0,0,0,66534,858,0
