,e,s,i1,i2,c,r,d,detected
185,124,32077,181,272,26,66473,850,2
186,107,32063,165,245,26,66545,852,1
187,83,32050,158,239,27,66593,853,1
188,76,32035,142,211,23,66661,855,1
189,75,32020,133,194,21,66705,855,2
190,64,32013,118,173,16,66762,857,1
191,66,31997,107,155,16,66805,857,2
192,65,31985,94,143,15,66842,859,2
193,56,31979,84,131,15,66878,860,2
194,56,31964,79,123,15,66904,862,1
195,63,31950,72,116,11,66926,865,0
196,57,31940,69,104,11,66956,866,1
197,51,31934,57,91,10,66994,866,2
198,50,31929,54,78,9,67016,867,1
199,41,31923,55,76,9,67032,867,1
200,34,31916,54,73,8,67050,868,1
201,26,31914,53,70,7,67065,868,0
202,23,31911,50,66,6,67079,868,0
203,25,31904,45,61,4,67096,868,1
204,24,31899,40,57,6,67109,868,0
205,20,31896,41,56,3,67118,869,0
206,20,31894,35,48,3,67134,869,1
207,21,31890,28,46,2,67147,869,1
208,19,31885,25,50,2,67153,869,2
209,17,31882,23,42,3,67167,869,1
210,14,31882,21,33,4,67180,869,0
211,13,31881,16,30,4,67190,869,0
212,13,31877,16,28,4,67196,869,1
213,11,31874,17,27,2,67202,870,1
214,8,31874,15,26,2,67208,870,0
215,8,31874,11,23,2,67215,870,0
216,9,31872,10,23,2,67217,870,0
217,7,31870,11,23,2,67220,870,1
218,7,31867,10,20,2,67227,870,0
219,7,31867,7,18,1,67233,870,0
220,7,31867,5,17,1,67236,870,0
221,5,31867,5,17,1,67238,870,0
222,3,31867,5,15,1,67242,870,0
223,0,31867,5,13,1,67247,870,0
224,1,31866,5,10,1,67250,870,0
225,1,31866,5,10,1,67250,870,0
226,2,31865,5,9,1,67251,870,0
227,2,31865,4,6,1,67255,870,0
228,2,31865,4,3,1,67258,870,0
229,1,31865,4,4,1,67258,870,0
230,1,31865,4,4,1,67258,870,0
231,1,31864,3,4,1,67260,870,1
232,1,31864,1,4,1,67262,870,0
233,1,31864,0,2,2,67264,870,0
234,1,31864,0,2,2,67264,870,0
235,1,31864,0,2,2,67264,870,0
236,0,31864,0,3,1,67265,870,0
237,2,31862,0,3,1,67265,870,1
238,3,31861,0,3,1,67265,870,0
239,3,31861,0,2,1,67266,870,0
240,3,31861,0,2,1,67266,870,0
241,3,31861,0,1,1,67267,870,0
242,1,31861,1,2,0,67267,871,0
243,0,31861,1,3,0,67267,871,0
244,0,31861,1,3,0,67267,871,0
245,0,31861,1,3,0,67267,871,0
246,0,31861,1,2,0,67268,871,0
247,0,31861,1,2,0,67268,871,0
248,0,31861,1,2,0,67268,871,0
249,0,31861,1,2,0,67268,871,0
250,0,31861,1,2,0,67268,871,0
251,0,31861,1,2,0,67268,871,0
252,0,31861,0,1,0,67270,871,0
253,0,31861,0,0,1,67270,871,0
254,0,31861,0,0,1,67270,871,0
255,0,31861,0,0,1,67270,871,0
256,0,31861,0,0,1,67270,871,0
257,0,31861,0,0,1,67270,871,0
258,0,31861,0,0,1,67270,871,0
259,0,31861,0,0,1,67270,871,0
260,0,31861,0,0,1,67270,871,0
261,0,31861,0,0,1,67270,871,0
262,0,31861,0,0,0,67270,872,0
263,0,31861,0,0,0,67270,872,0
264,0,31861,0,0,0,67270,872,0
265,0,31861,0,0,0,67270,872,0
266,0,31861,0,0,0,67270,872,0
267,0,31861,0,0,0,67270,872,0
268,0,31861,0,0,0,67270,872,0
269,0,31861,0,0,0,67270,872,0
270,0,31861,0,0,0,67270,872,0
271,0,31861,0,0,0,67270,872,0
272,0,31861,0,0,0,67270,872,0
273,0,31861,0,0,0,67270,872,0
274,0,31861,0,0,0,67270,872,0
275,0,31861,0,0,0,67270,872,0
276,0,31861,0,0,0,67270,872,0
277,0,31861,0,0,0,67270,872,0
278,0,31861,0,0,0,67270,872,0
279,0,31861,0,0,0,67270,872,0
280,0,31861,0,0,0,67270,872,0
281,0,31861,0,0,0,67270,872,0
282,0,31861,0,0,0,67270,872,0
283,0,31861,0,0,0,67270,872,0
284,0,31861,0,0,0,67270,872,0
285,0,31861,0,0,0,67270,872,0
286,0,31861,0,0,0,67270,872,0
287,0,31861,0,0,0,67270,872,0
288,0,31861,0,0,0,67270,872,0
289,0,31861,0,0,0,67270,872,0
290,0,31861,0,0,0,67270,872,0
291,0,31861,0,0,0,67270,872,0
292,0,31861,0,0,0,67270,872,0
293,0,31861,0,0,0,67270,872,0
294,0,31861,0,0,0,67270,872,0
295,0,31861,0,0,0,67270,872,0
296,0,31861,0,0,0,67270,872,0
297,0,31861,0,0,0,67270,872,0
298,0,31861,0,0,0,67270,872,0
299,0,31861,0,0,0,67270,872,0
300,0,31861,0,0,0,67270,872,0
301,0,31861,0,0,0,67270,872,0
302,0,31861,0,0,0,67270,872,0
303,0,31861,0,0,0,67270,872,0
304,0,31861,0,0,0,67270,872,0
305,0,31861,0,0,0,67270,872,0
306,0,31861,0,0,0,67270,872,0
307,0,31861,0,0,0,67270,872,0
308,0,31861,0,0,0,67270,872,0
309,0,31861,0,0,0,67270,872,0
310,0,31861,0,0,0,67270,872,0
311,0,31861,0,0,0,67270,872,0
312,0,31861,0,0,0,67270,872,0
313,0,31861,0,0,0,67270,872,0
314,0,31861,0,0,0,67270,872,0
315,0,31861,0,0,0,67270,872,0
316,0,31861,0,0,0,67270,872,0
317,0,31861,0,0,0,67270,872,0
318,0,31861,0,0,0,67270,872,0
319,0,31861,0,0,0,67270,872,0
320,0,31861,0,0,0,67270,872,0
321,0,31861,0,0,0,67270,872,0
322,0,31861,0,0,0,67270,872,0
323,0,31861,0,0,0,67270,872,0
324,0,31861,0,0,0,67270,872,0
325,0,31861,0,0,0,67270,872,0
326,0,31861,0,0,0,67270,872,0
327,0,31861,0,0,0,67270,872,0
328,0,31861,0,0,0,67270,872,0
329,0,31861,0,0,0,67270,872,0
330,0,31861,0,0,0,67270,872,0
331,0,31861,0,0,0,67270,872,0
332,0,31861,0,0,0,67270,872,0
333,0,31861,0,0,0,67270,872,0
334,0,31861,0,0,0,67270,872,0
335,0,31861,0,0,0,67270,872,0
336,0,31861,0,0,0,67270,872,0
337,0,31861,0,0,0,67270,872,0
338,0,31861,0,0,0,67270,872,0
339,0,31861,0,0,0,67270,872,0
340,0,31861,0,0,0,67270,872,0
341,0,31861,0,0,0,67270,872,0
342,0,31861,0,0,0,67270,872,0
343,0,31861,0,0,0,67270,872,0
344,0,31861,0,0,0,67270,872,0
345,0,31861,0,0,0,67270,872,0
346,0,31861,0,0,0,67270,872,0
347,0,31861,0,0,0,67270,872,0
348,0,31861,0,0,0,67270,872,0
349,0,31861,0,0,0,67270,872,0
